time,h_plus,h_cross,amplitude
3.050000000000e+00,1.304655273071e-22,2.975816818340e-19,2.975817104333e-19
3.060000000000e+00,1.304655273071e-22,2.975816819890e-19,2.975817105883e-19
3.070000000000e+00,1.304655273071e-22,2.975816821441e-19,2.975817107434e-19
3.080000000000e+00,1.304655273071e-22,2.975816822992e-19,2.975817108985e-19
3.090000000000e+00,1.304655273071e-22,2.975816824543e-19,2.975817110536e-19
3.100000000000e+00,1.304655273071e-22,2.975816826094e-19,2.975817112087e-19
3.110000000000e+00,1.304655273071e-22,2.975816827645e-19,2.975817113638e-19
3.120000000000e+00,1.304655020636e-22,2.975816829196e-19,2.975817115189e-19
3.130000000000e+00,1.304655020636e-22,2.975816830747e-19,2.975817116739e-19
3.140000000000e+00,1.304655020636e-22,2.975816832297e-19,2.975817118290e-19
3.150000000000e+00,1.304655020636e-22,2.975816833848e-19,2.975817119841e-19
3.160000000000e+00,1.304655273071e-22,2.975816835399e-19,2.975817121392e-19
3.170000000000e+00,1.304655273071e-22,2.975816836950e-19,2.975817122943e-19
3.180000000000e+00,1.304655273071e-22,2.975816838501e-19,2.975817124494e-19
3.190000000000e+00,1.304655273071e-22,2.975816840052e-19,2.975817126045e-19
3.200000000000e+00,1.304655273071e-22,2.975816841603e-19,2.975817127596e-19
3.210000000000e+00,1.304655273071e-22,2.975816843154e-19,2.975817129146e-19
3.220000000000e+00,1.304655273071e-22,2.975816844704e-19,2.975817130697e-19
3.230000000000e+00,1.304655273071e-22,2.975816846255e-19,2.975817132248e-19
3.240000000000e+00,1.304655273071e-22,2.975816847806e-19,2.975817133799e-19
3.250000000000e+00,1.304655273071e-22,2.975816849357e-19,2.975817135350e-19
3.260000000000e+00,1.304655273071e-22,2.975816850908e-19,2.975817136901e-19
3.270000000000e+00,1.304655273071e-22,2.975816852459e-19,2.975817138452e-19
3.280000000000e+00,1.304655273071e-22,2.975816854010e-19,2.975817140003e-19
3.290000000000e+00,1.304655273071e-22,2.975816855560e-19,2.975817141553e-19
3.300000000000e+00,1.304655273071e-22,2.975816857111e-19,2.975817143104e-19
3.310000000000e+00,1.304655273071e-22,2.975816858662e-19,2.975817144655e-19
3.320000000000e+00,1.304655273071e-22,2.975816860213e-19,2.975817146206e-19
3.330000000000e+00,1.304655273071e-22,2.975816861764e-19,2.975817147757e-19
3.340000000000e+00,1.304655273071e-22,2.975816863315e-19,2.975817149308e-19
3.350000000000e+00,1.304655273071e-22,2.975816864866e-19,2.975817150859e-19
3.360000000000e+00,1.304655273071e-22,2.975816866417e-19,2.975817152410e-19
3.370000000000e+00,1.304655273071e-22,2.975816867967e-19,2.975817153960e-19
3.380000000000e+00,1.304655273071e-22,2.975816869518e-19,2.975817155511e-19
3.390000000000e+00,1.304655273071e-22,2.975816871069e-19,2.975817157062e-19
3.400000000000e+00,1.304655273071e-22,2.975816872620e-19,2.975817158613e-19
3.410000000000e+00,1.304655525507e-22,2.975816874171e-19,2.975817160164e-19
3.420000000000e+00,1.304655525507e-22,2.975816875722e-19,2.975817161715e-19
3.430000000000e+00,1.304655525507e-22,2.975816877273e-19,2.975817163266e-19
3.440000000000e+00,1.304655273071e-22,2.975816878824e-19,2.975817164817e-19
3.450000000000e+00,1.304655273071e-22,2.975816880374e-19,2.975817166367e-19
3.460000000000e+00,1.304655273071e-22,2.975816881925e-19,2.975817167918e-19
3.470000000000e+00,1.304655273071e-22,2.975816883476e-19,2.975817169469e-19
3.480000000000e+00,1.304655273071e-22,2.975816885027e-19,2.975817171020e-19
3.490000000000e+00,1.304655273071e-22,2.975816886578e-19,2.975817172571e-19
3.500000000000e+00,1.304655273071e-22,2.975816888129e-19,2.975817174122e-19
3.510000000000e+00,1.304655273071e-22,2.975816889680e-19,2.975817175673e-19
3.520000000000e+00,1.304655273071e-22,2.975816891231e-19,2.975817177224e-19
3.530000000000e+00,1.304655525507e-22,2.975816892781e-19,2.975817178774e-19
3.540000000000e+00,1.304655525507e-22,2.975816894332e-19,2.975817180325e-19
3.550000000000e+00,1.304655525507e-22,2.975816895883e-19,2.975817181876e-19
3.560000000000e+00,1.304655525507e-22,2.975816897434e-19,2.975817183427e-19
3.570000000000e+00,1.304655525507e-22,2.975816898985e-19,2.975817184978e-19
3.580000000000e+00,1.304655525507e-22,2.975816900536e-19,2.975817186529e-19
3.590000000000e+00,1.304655525507e-22,2.975816902087e-19,2.975817188080e-19
3.600000000000e+00,1.304655273071e-22,2.975816903638e-19,2.975817189630e-19
3.610000000000e+00,1.304655273071e-22,2.975816905188e-19,2.975817191181e-19
3.620000000000e+00,1.304655273071e-22,2.975816906739e-19,2.975817192732e-19
3.630000000000e+00,1.304655273071e-22,2.975816908290e-19,2.975817194283e-19
3.640000000000e+00,1.304655273071e-22,2.975816909841e-19,2.975817195834e-19
3.650000000000e+00,1.304655525507e-22,2.975816911392e-19,2.975817197385e-19
3.660000000000e+00,1.304655525507e-22,2.975816912943e-19,2.975817198936e-19
3.670000000000e+00,1.304655525507e-22,2.975816914494e-19,2.975817200487e-19
